CLE;AB;BA;BP;BP_AB;BP_PM;H;PB;PM;PM_AB;PT;PT_AB;PT_PM;TO;BOG;ALTI;D_1A;D_1AR;D_R;D_2;D_4GA;D_7;D_8;D_8AR;D_WA;ELE;P_DEF;ARI;DWFC;EVA;GDD;MAT;PRECT;PRECU;VPD;AG;BR;FT;HF;HL;LOG;SBOM;SBOS;SBON;O1700;O1880;O1900;O1920
814;0.00;0.00;0.00;0.00;0.00;19.04;9.19;3.97;0.00;0.00;0.00;0.00;0.00;22.46;201.41;36.61;4.91;5.58;0.00;0.00;30.36;0.00;0.00;4.91;33.07;2;6;8;5;6;7;3;2;8;0.00;39.49;0.00;0.000;0.00;0.00;0.00;0.00;0.00;22.20;0.00;55.60;0.00
815;0.00;0.00;0.21;0.00;2.34;3.02;23.99;20.41;0.34;0.00;0.00;0.00;0.00;16.56;322.51;70.71;8.59;0.00;1.01;1.52;14.14;0.00;0.00;3.54;32.00;10;4;9;5;7;7;4;5;8;0.00;27.49;0.00;12.029;0.00;0.00;0.00;0.00;0.00;31.64;22.78;17.72;26.58
816;0.00;0.00;0.35;0.17;10.28;5.57;22.47;36.59;0.17;0.00;0.00;1.39;0.00;10.98;323.31;42.17;19.28;2.41;2.41;6.02;10.84;0.00;0.00;3.61;54.73;35;4;9;5;7;7;4;5;8;0.00;8.89;0.00;0.000;0.00;0.00;0.00;0.00;0.00;11.11;37.03;33.33;14.81
817;0.00;0.00;0.00;0.00;2.97;3.42;35.44;17.52;0.00;0.00;0.00;0.07;0.00;17.66;335.71;59.13;9.54;0.27;0.54;0.54;22.62;0.00;0.00;6.81;30.48;14;4;9;5;7;7;4;5;8;0.00;15.09;0.00;0.668;0.00;0.00;0.00;0.00;0.00;26.67;3.33;12.00;34.00
818;0.00;0.00;0.34;0.00;5.49;10.77;25.41;32.72;0.00;0.00;0.00;0.00;0.00;15.04;341.19;46.26;18.06;10.13;0.00;12.33;8.37;0.00;0.00;2.20;48.26;19;4;9;5;7;7;4;5;8;0.00;5.89;0.00;0.000;0.00;0.00;0.00;0.00;0.00;15.55;8.89;4.44;57.78
819;0.00;0.00;0.87;0.00;1.74;6.26;15.50;33.04;0.00;0.00;0.00;0.31;0.00;28.15;313.78;48.08;12.98;0.96;0.00;13.46;18.27;0.00;0.00;3.85;32.19;11;4;9;5;7;7;4;5;8;0.00;10.35;0.00;0.000;0.00;0.00;0.00;0.00;0.00;1.75;10.53;10.53;45.62
820;0.00;0.00;1.22;0.00;5.11;10.33;18.49;39.25;0.03;0.17;0.00;0.44;0.00;10.10;349.24;38.10;20.44;16.87;1.19;1.19;11.11;0.00;0.00;6.55;51.86;28;3;9;5;7;7;4;5;8;0.00;6.21;0.00;0.000;0.00;0.00;0.00;0.00;0.00;5.71;34.29;24.76;22.85
821;0.00;0.00;0.29;0.00;0.92;3.33;35.44;15.58;0.11;0.00;0.00;0.00;0.00;25.29;347.86;42.70;6.42;3.54;10.18;0.22;26.55;0.00;0.00;7.52;27.83;11;3;9;5;7;7;4;5;8;0.00;9.05;0.00;1.022;0.00;0.00;0.00;0.00;0.00;9.92;6.87;19.84;49.61
822;0.00;0.00;1.06;0.00;1.15;5.21;19.30;15.17;0.21;0.01;0.00;0.16;0.00;16.71;367.31;47.05;6.28;8.31;5.79;0.00;15.56;0.00;0.00;13.91;36.65;13;3;9;5;7;7;5;5;7;0.00;25.89;0.00;0.991;0.00;0.12;0.07;0.00;0.00;21.33;13.67;9.00;46.34
823;0.00;0.00;2.35;0.00;7.40;4.64;10.38;36.89;0.00;0.00;0.00;0.07;0.00;14.05;324.18;41.49;14.36;3.19;0.53;6.91;7.98;0.00;0.00;20.21;37.58;24;4;9;5;7;7;4;5;8;0.00;5.33;0.00;0.414;0.00;0.00;0.00;0.00;0.00;20.24;36.91;29.77;11.90
824;0.00;0.00;2.51;0.22;4.49;8.60;35.67;25.83;0.02;0.15;0.00;1.35;0.00;11.38;367.82;44.92;18.42;13.77;2.58;0.00;11.70;0.00;0.00;6.37;60.18;32;3;9;5;7;7;4;5;8;0.00;1.69;0.00;0.000;0.00;0.00;0.00;0.00;0.00;6.67;10.00;15.00;31.66
825;0.00;0.00;0.00;0.00;1.60;6.04;5.59;7.98;0.23;0.00;0.00;0.00;0.00;7.07;396.24;39.20;13.60;12.80;15.20;0.00;5.60;0.00;0.00;2.40;48.90;14;3;9;5;6;7;5;5;7;0.00;66.59;0.00;0.032;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;83.33
826;0.00;0.00;0.00;0.00;0.68;5.47;17.81;17.51;7.19;0.00;0.00;0.00;0.00;12.53;412.16;49.77;6.39;3.20;17.35;0.00;15.07;0.00;0.00;7.76;32.39;2;3;9;5;6;7;5;5;7;0.00;29.05;0.00;3.117;0.00;0.00;0.00;0.00;0.00;31.82;20.46;13.63;25.00
827;0.00;0.00;0.42;0.03;2.58;4.02;17.67;28.12;0.98;0.03;0.00;0.03;0.00;13.94;408.96;49.25;9.75;2.25;11.50;0.00;13.00;0.00;0.00;14.00;27.60;6;3;9;4;6;7;6;6;7;0.00;18.02;0.00;0.321;0.00;0.00;0.00;0.00;0.00;23.67;6.11;3.05;34.35
828;0.00;0.00;0.52;0.10;11.80;19.15;13.36;16.28;4.91;0.00;0.00;0.68;0.00;7.41;419.38;41.60;14.89;12.98;11.07;0.00;6.87;0.00;0.00;11.45;50.01;13;3;9;5;6;7;5;6;7;0.00;13.99;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.15;45.45
829;0.00;0.00;0.55;0.00;0.73;3.05;17.10;11.24;0.18;0.06;0.00;0.00;0.00;18.94;372.34;35.71;4.02;4.02;10.27;0.00;20.54;0.00;0.00;22.77;27.86;4;3;9;5;6;7;5;5;7;0.00;23.58;0.00;0.036;0.00;0.00;0.00;0.00;0.00;21.57;21.56;13.72;31.37
830;0.00;0.00;1.28;0.00;3.53;11.25;15.02;9.24;0.06;0.30;0.00;0.12;0.00;8.75;393.05;36.04;14.41;11.71;9.00;0.00;8.56;0.00;0.00;19.82;43.47;6;3;9;5;6;7;5;6;7;0.00;25.35;0.00;0.080;0.00;0.00;0.00;0.00;0.00;8.52;0.00;2.13;25.53
831;0.00;0.00;1.34;0.00;2.16;4.26;19.59;15.51;0.64;0.12;0.00;0.06;0.00;13.00;378.08;39.50;8.82;3.36;8.40;0.00;14.29;0.00;0.00;25.63;34.10;7;3;9;5;6;7;5;6;7;0.00;16.62;0.00;0.000;0.00;0.00;0.00;0.00;0.00;5.55;7.41;1.85;33.34
832;0.00;0.00;0.56;0.07;1.69;5.34;30.50;24.31;0.42;0.14;0.00;0.14;0.00;17.43;393.86;44.28;9.45;2.49;16.92;0.00;15.42;0.00;0.00;10.95;33.90;8;3;9;5;6;7;5;6;7;0.00;10.75;0.00;0.030;0.00;0.00;0.00;0.00;0.00;21.74;9.57;3.48;44.35
833;0.00;0.00;0.04;0.00;0.31;5.55;23.45;7.77;0.00;0.00;0.00;0.00;0.00;23.67;328.31;48.22;7.14;0.41;7.28;0.00;23.35;0.00;0.00;13.32;22.75;3;4;9;5;7;7;4;5;8;0.00;27.05;0.00;0.457;0.00;0.04;0.00;0.00;0.00;9.65;11.93;11.93;52.84
