CLE;AB;BA;BP;BP_AB;BP_PM;H;PB;PM;PM_AB;PT;PT_AB;PT_PM;TO;BOG;ALTI;D_1A;D_1AR;D_R;D_2;D_4GA;D_7;D_8;D_8AR;D_WA;ELE;P_DEF;ARI;DWFC;EVA;GDD;MAT;PRECT;PRECU;VPD;AG;BR;FT;HF;HL;LOG;SBOM;SBOS;SBON;O1700;O1880;O1900;O1920
834;0.00;0.00;0.00;0.00;1.34;13.39;18.99;9.56;0.00;0.00;0.00;0.00;0.00;19.45;342.66;39.78;2.70;0.45;19.09;0.00;22.70;0.00;0.00;13.03;19.43;1;4;9;5;7;7;4;5;8;0.00;23.49;0.00;0.000;0.00;0.33;0.00;0.00;0.00;5.30;17.42;34.84;32.57
835;0.00;0.00;0.06;0.00;1.14;0.88;21.51;10.76;1.26;0.00;0.00;0.00;0.00;12.21;367.68;51.37;4.44;2.54;5.07;0.00;11.42;0.00;0.00;21.78;34.24;5;3;9;5;7;7;4;5;7;0.00;29.99;0.00;0.002;0.00;0.00;0.00;0.00;0.00;32.34;7.19;5.99;50.89
836;0.00;0.00;0.10;0.00;0.98;3.50;24.78;7.29;0.14;0.00;0.00;0.00;0.00;10.43;328.75;39.07;19.64;12.04;2.22;1.27;11.19;0.00;0.00;12.67;52.56;16;4;9;5;6;7;4;4;7;0.00;38.81;0.00;20.835;0.00;0.00;0.00;0.00;0.00;9.59;9.59;50.69;26.03
837;0.00;0.00;0.00;0.00;2.56;14.03;11.15;27.79;0.76;0.00;0.00;0.00;0.00;4.68;388.34;25.90;21.12;21.12;7.98;0.00;6.37;0.00;0.00;14.74;41.50;8;4;9;5;6;7;5;5;7;0.00;25.77;0.00;0.000;0.00;0.00;0.00;0.00;0.00;47.92;28.13;15.63;8.34
838;0.00;0.00;0.00;0.00;1.14;18.48;11.57;22.58;0.47;0.00;0.00;0.00;0.00;7.61;392.67;34.40;11.30;11.30;17.46;0.00;8.60;0.00;0.00;15.23;42.01;7;4;9;5;6;7;5;5;7;0.00;21.30;0.00;11.350;0.00;0.00;0.00;0.00;0.00;37.98;21.51;9.70;18.99
839;0.00;0.00;1.46;0.20;7.18;19.59;16.10;19.91;1.50;0.69;0.00;0.08;0.00;11.03;438.21;38.28;24.63;7.42;10.39;0.00;6.82;0.00;0.00;11.57;53.45;9;3;9;4;6;6;6;6;7;0.00;12.41;0.00;0.005;0.00;0.00;0.00;0.00;0.00;23.14;3.71;10.19;34.26
840;0.00;0.00;0.20;0.00;0.43;11.30;19.55;28.06;1.12;0.00;0.00;0.00;0.00;4.63;362.45;38.57;11.67;19.05;3.58;0.00;5.48;0.00;0.00;20.71;52.19;4;3;9;4;6;6;5;5;7;0.00;15.93;0.00;0.937;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00
841;0.00;0.00;0.00;0.00;0.30;4.07;34.32;10.49;0.11;0.00;0.00;0.00;0.00;8.45;324.70;41.03;8.68;3.63;7.16;0.00;8.30;0.00;0.00;25.86;43.05;3;4;9;4;6;6;4;5;7;0.00;15.31;0.00;0.000;0.00;0.00;0.00;0.00;0.00;11.10;18.51;14.81;14.81
842;0.00;0.00;0.02;0.09;0.37;4.81;11.87;10.44;0.17;0.00;0.00;0.00;0.00;6.17;340.95;45.11;7.41;7.41;5.93;0.00;5.63;0.00;0.00;21.70;44.43;6;3;9;4;6;6;5;5;7;0.00;43.42;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
843;0.00;0.00;0.04;0.00;2.28;10.58;23.63;11.83;0.00;0.02;0.00;0.02;0.00;6.04;359.28;43.89;11.96;4.73;6.82;0.00;6.57;0.00;0.00;12.61;40.89;9;4;9;5;6;7;5;5;7;0.00;33.43;0.00;0.057;0.00;0.00;0.00;0.00;0.00;10.23;0.79;27.56;56.70
844;0.00;0.00;0.00;0.00;0.98;0.89;10.56;8.95;0.00;0.00;0.00;0.00;0.00;8.79;358.22;51.57;6.75;3.61;11.32;0.00;5.78;0.00;0.00;18.80;33.85;4;4;9;5;6;7;5;5;7;0.00;53.11;0.00;0.001;0.00;0.00;0.00;0.00;0.00;13.40;16.50;20.62;29.90
845;0.00;0.00;0.33;0.00;1.20;5.87;14.37;27.46;0.37;0.00;0.00;0.08;0.00;10.71;376.82;41.11;11.61;3.32;8.85;0.00;9.12;0.00;0.00;21.11;37.16;2;3;9;4;6;7;5;5;7;0.00;20.95;0.00;0.039;0.00;0.00;0.00;0.00;0.00;43.66;21.12;11.27;7.04
846;0.00;0.00;0.11;0.00;1.03;1.86;36.64;7.19;0.00;0.00;0.00;0.19;0.00;16.83;314.76;46.75;8.58;2.90;4.70;0.00;16.87;0.00;0.00;15.49;34.73;1;4;9;5;6;7;4;4;7;0.00;20.44;0.00;0.300;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.33;91.67
847;0.00;0.00;0.10;0.00;0.09;11.36;7.30;33.12;4.03;0.00;0.00;0.03;0.00;6.61;465.42;54.85;4.71;3.58;6.88;0.00;4.34;0.00;0.00;10.27;43.46;3;3;9;4;5;6;4;6;6;0.00;26.69;0.00;0.000;0.00;0.00;0.00;0.00;0.00;33.47;20.34;3.82;27.97
