CLE;V_CAL;V_KAA;V_RHG;V_VAAM
354;1.36364;1.72727;3.27273;0.63636
355;0.00000;3.00000;3.61111;6.11111
356;0.65217;8.26087;6.86957;7.82609
357;6.75000;11.00000;13.75000;8.08333
358;1.20000;7.90000;4.06667;3.96667
359;2.12500;1.75000;3.16667;2.95833
360;0.00000;0.08333;0.08333;0.75000
361;1.50000;11.10000;25.30000;8.40000
362;0.00000;10.60000;16.00000;6.40000
363;2.50000;19.16667;36.83333;23.16667
364;0.60000;17.60000;15.60000;3.20000
365;0.00000;12.93750;6.00000;7.31250
366;3.20000;20.80000;17.00000;6.80000
367;0.00000;44.60000;20.40000;17.20000
368;0.09091;22.72727;5.18182;19.63636
369;0.00000;0.80000;3.80000;2.50000
370;0.00000;1.60000;0.80000;7.60000
371;0.00000;9.60000;14.60000;18.40000
372;0.10000;22.40000;16.90000;20.50000
373;2.50000;16.00000;7.08333;6.41667
374;0.00000;1.33333;1.50000;5.00000
375;0.06667;4.26667;4.73333;4.73333
376;0.00000;11.00000;8.00000;12.33333
377;3.66667;26.88889;11.72222;15.77778
378;0.00000;26.83333;8.66667;8.00000
379;1.45455;20.27273;9.00000;8.81818
380;0.00000;0.00000;0.00000;0.16667
381;0.00000;0.66667;1.00000;4.83333
382;0.00000;0.08333;1.25000;0.33333
383;0.00000;0.05882;0.00000;0.17647
384;0.00000;0.00000;0.25000;1.00000
385;0.00000;0.00000;0.00000;0.16667
386;0.50000;0.00000;3.00000;2.00000
387;0.00000;0.27273;0.27273;1.00000
388;0.00000;0.90909;2.18182;11.18182
389;0.00000;11.16667;5.50000;4.66667
390;0.05263;0.15789;1.89474;0.31579
391;1.25000;0.00000;1.58333;3.16667
392;4.12500;0.75000;2.75000;2.00000
393;3.16667;0.16667;7.00000;17.00000
394;2.50000;0.00000;2.50000;8.66667
395;0.00000;0.00000;0.00000;0.10000
396;0.25000;0.25000;0.25000;0.08333
397;0.00000;0.60000;1.40000;4.60000
398;0.00000;0.58333;1.08333;8.25000
399;0.23077;10.15385;1.92308;7.92308
400;0.00000;0.66667;1.83333;7.66667
401;0.00000;2.50000;0.50000;5.50000
402;0.00000;1.17647;1.00000;1.41176
403;0.00000;0.80000;0.00000;1.40000
404;0.00000;0.60000;0.20000;1.00000
405;0.00000;0.05882;0.00000;0.17647
406;0.00000;6.33333;0.33333;1.50000
407;0.00000;10.66667;0.83333;1.66667
408;0.00000;0.50000;0.16667;2.66667
409;0.16667;8.50000;0.66667;2.50000
410;0.50000;29.33333;3.08333;7.58333
411;0.00000;0.00000;0.00000;0.14286
412;0.75000;17.40000;2.40000;9.20000
413;0.00000;4.16667;0.00000;18.50000
414;0.00000;39.71429;2.35714;40.78571
415;1.15385;3.61538;1.92308;2.30769
416;0.00000;7.00000;2.28571;4.42857
417;0.00000;1.00000;0.00000;1.71429
418;0.78947;14.68421;5.73684;8.05263
419;0.00000;4.00000;9.71429;9.42857
420;0.00000;19.31034;6.31034;11.86207
421;0.00000;19.44828;2.79310;10.79310
422;0.00000;6.00000;5.58333;3.50000
423;0.00000;13.40000;5.60000;14.10000
424;0.00000;13.25000;12.75000;8.16667
425;0.00000;1.50000;0.83333;1.00000
426;0.00000;6.50000;0.50000;9.66667
427;17.16667;4.00000;11.16667;3.00000
428;0.00000;7.57895;7.63158;11.00000
429;0.00000;6.00000;0.33333;3.50000
430;0.09375;7.37500;0.81250;2.46875
431;0.00000;6.63636;0.09091;2.54545
432;1.87500;11.75000;0.75000;7.12500
433;0.00000;0.85714;0.71429;5.71429
434;0.00000;24.50000;4.16667;27.33333
435;0.00000;0.46154;0.30769;0.61538
436;0.00000;23.50000;16.33333;4.58333
437;0.00000;9.66667;0.50000;2.00000
438;0.00000;4.00000;0.75000;1.91667
439;1.16667;47.83333;1.66667;3.66667
440;0.00000;6.36364;0.45455;1.54545
441;0.00000;4.54545;0.00000;2.18182
442;0.00000;50.00000;1.00000;15.00000
443;0.00000;1.16667;0.16667;10.00000
444;0.00000;31.44444;7.77778;23.55556
445;0.00000;0.00000;0.00000;0.20000
446;0.00000;5.05882;0.17647;1.64706
447;0.11765;16.52941;15.05882;9.00000
448;0.00000;3.00000;1.16667;8.33333
449;0.00000;8.14286;1.00000;8.57143
450;0.00000;1.20000;6.90000;7.40000
451;0.00000;6.81818;1.61364;6.09091
452;2.28571;29.61905;7.85714;24.57143
453;0.00000;4.00000;11.00000;17.00000
454;0.11111;4.11111;1.88889;1.22222
455;0.00000;7.66667;2.83333;12.66667
456;0.00000;0.00000;0.38889;6.44444
457;0.00000;0.11111;0.07407;1.03704
458;0.10000;16.80000;13.40000;11.90000
459;0.00000;10.93333;3.26667;16.66667
460;0.00000;6.80000;3.80000;10.60000
461;14.28571;7.00000;17.28571;6.14286
462;0.20833;14.16667;3.29167;6.08333
463;0.00000;1.75000;0.41667;0.83333
464;0.00000;0.00000;0.00000;0.10000
465;0.00000;0.20000;0.00000;1.20000
466;0.00000;0.60000;0.20000;0.80000
467;0.00000;0.20000;0.00000;0.40000
468;0.44118;0.14706;0.58824;0.26471
469;0.00000;0.06250;0.06250;0.00000
470;1.63636;1.27273;3.45455;1.27273
471;0.00000;0.00000;0.00000;0.09091
472;0.00000;0.00000;0.00000;0.42857
473;0.00000;0.00000;0.00000;0.02941
474;0.00000;0.00000;0.00000;0.21429
475;0.00000;0.21429;0.07143;0.64286
476;0.00000;0.00000;0.00000;0.60000
477;0.00000;0.00000;0.00000;1.33333
478;1.05882;0.35294;0.70588;1.17647
479;0.00000;0.00000;0.20000;0.80000
480;0.93750;0.93750;0.25000;0.31250
481;0.00000;0.20000;0.20000;0.40000
482;0.00000;0.00000;0.18182;0.77273
483;0.00000;0.00000;0.57143;0.14286
484;0.00000;0.00000;0.00000;1.06250
485;0.00000;0.21053;0.00000;0.26316
486;0.00000;0.93750;0.06250;3.12500
487;0.00000;0.00000;0.58824;0.23529
488;0.00000;0.00000;0.09091;0.00000
489;0.00000;0.00000;0.00000;0.10000
490;0.00000;0.00000;0.08000;2.04000
491;0.00000;0.00000;0.50000;3.33333
492;0.00000;3.44444;1.88889;7.94444
493;0.00000;3.36364;0.45455;4.72727
494;0.00000;0.00000;0.00000;2.00000
495;0.00000;10.00000;0.75000;8.87500
496;0.00000;3.20000;0.20000;2.60000
497;0.00000;0.00000;0.07407;1.40741
498;0.00000;0.00000;0.00000;0.20000
499;0.00000;0.20000;0.00000;0.40000
500;0.00000;0.00000;0.00000;0.03448
501;0.00000;4.46667;0.20000;3.06667
502;0.00000;0.00000;0.00000;0.16667
503;0.00000;0.14286;0.04762;2.04762
504;0.00000;0.34783;0.13043;4.60870
505;0.00000;0.00000;0.00000;0.27273
506;0.00000;0.00000;0.00000;0.10000
507;0.00000;0.00000;0.00000;0.30000
508;0.00000;0.00000;0.00000;3.66667
509;0.00000;0.00000;0.00000;0.06250
