"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"28",28,1.71,0,0.46,0.34,0.19,0.34,4.34,13.01,3.08,9.78,1.03,11.79,0,9.13,296.45,0.27,1.91,1.36,0.54,65.4,22.34,0,0,7.36,20.68,0,4,9,7,9,9,5,5,9,8.22,0.72,5.5,7.579,1,21.87,0,0,5.13,0.78,1.17,5.08,25.78,"H_c","c","H"
"29",29,0.3,0,1.02,0.53,1.05,0.72,8.67,13.65,0.86,9,0.36,11.6,0,13.6,316.17,4.57,7.24,1.9,0.19,40.76,34.29,0,0,5.71,14.22,0,4,10,7,9,9,5,5,9,5.95,2.22,7,5.052,1.8,17.92,1.11,0.11,6.7,6.59,4.12,4.94,24.72,"H_c","c","H"
"30",30,0.42,0,4.1,1.05,6.82,3.93,3.64,27.38,0.25,4.6,0.04,4.23,0,7.79,306.32,0,14.62,17.54,1.75,48.54,8.48,0,0,4.39,21.74,0,5,10,7,10,10,5,4,10,0,4.4,4.67,9.178,1,30.77,15.7,9,9.83,7.32,5.69,13.82,33.33,"L_c","c","L"
"31",31,1.01,0,8.16,2.9,18.88,5.21,5.02,32.45,0.53,2.27,0.14,2.32,0,5.79,338.33,3.37,26.6,41.08,0,19.19,6.06,0,0,1.01,36.48,0,5,10,7,10,10,5,5,10,0,1.11,4.25,2.966,1,15.89,18.64,4.73,9.75,9.73,14.4,21.79,36.18,"H_c","c","H"
"32",32,1.79,0.08,3.21,0.28,9.68,0.2,1.27,33.64,0.79,4.13,0.28,9.24,0,7.06,340.87,29.28,30.39,4.42,0,22.93,9.12,0,0,2.21,22.86,1,4,10,7,9,9,5,5,10,0,3.77,6.17,17.408,1,36.53,13.33,2.98,9.33,5.46,17.58,18.36,29.3,"H_c","c","H"
"33",33,2.28,0,4.67,1.42,1.46,0.63,3.11,11.85,0.98,15.43,0.54,6.23,0,5.58,306.35,0.73,8.05,2.72,1.68,57.11,4.92,0,0,21.97,24.66,0,5,10,7,9,9,5,4,10,6.85,0.5,6.53,11.429,1,19.87,4.9,0.98,8.59,1.43,2.05,5.93,23.32,"L_c","c","L"
"34",34,1.12,0,3.79,0,1.29,0.69,17.93,21.72,1.47,17.33,0,4.05,0,10.86,338.09,8.29,15.38,6.51,5.33,27.81,14.2,0,0,2.96,30.08,2,4,10,7,9,9,5,5,9,3.53,0.43,7.75,6.107,1,10.17,1.55,0.78,8,4.2,4.2,2.52,42.02,"H_c","c","H"
"35",35,0.94,0,22.56,0.17,5.56,4.27,8.55,24.44,0.26,8.8,0,5.98,0,3.42,369.35,8.14,31.98,20.93,0,11.05,17.44,0,0,1.16,43.38,0,4,10,7,9,9,5,5,10,0.17,3.76,6,1.321,1,5.81,14.1,4.44,8,0.81,4.84,9.68,45.16,"H_c","c","H"
"36",36,0.21,0,1.38,0.42,1.69,0.53,0.63,8.36,0,22.43,0.95,20.63,0.11,2.65,310.29,0,12.78,6.02,1.5,54.89,5.26,0,0,16.54,12.55,0,5,10,7,9,10,5,5,10,5.08,2.96,8,47.853,1,7.09,7.83,1.38,10,0,0,0,17.58,"H_n","n","H"
"37",37,2.16,0,0.59,0.55,0.72,0.17,11.84,28.54,2.33,0.04,0.42,2.79,0,9.09,327.25,9.55,9.85,0.6,0.3,47.76,11.34,0,0,0.9,22.26,1,3,9,6,8,9,5,5,9,0,0.3,2.4,0.538,1,63.72,0.08,0,2.2,21.6,10.33,19.72,11.73,"H_c","c","H"
