"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"752",752,0,0,2.38,2.38,12.12,0,0,34.2,12.12,0.65,0,0,0,1.73,395.15,42.86,35.71,1.43,1.43,0,0,0,0,18.57,53.34,0,3,10,6,8,8,5,6,8,0,0,1,0,0,0,9.74,2.16,1,73.33,11.11,4.44,11.11,"H_c","c","H"
"753",753,0,0,0,0,0.83,3.85,17.19,22.83,0,0,0,0,0,22.01,351.74,55.77,4.81,1.92,1.92,0,19.23,0,0,6.73,29.5,7,3,9,5,7,8,4,5,8,0,27.51,0,0,0,0,0,0,0,38.94,1.77,5.6,39.53,"H_c","c","H"
"754",754,0,0,1.49,0.14,4.43,4.71,20.28,40.33,1.25,0.83,0,1.04,0,18.38,340.11,52.3,12.11,4.84,0.72,2.66,21.79,0,0,3.63,34.67,2,4,9,6,8,8,4,5,8,0,2.49,0,0,0,0.03,0,0,0,29.23,9.23,43.07,16.93,"H_c","c","H"
"755",755,0,0,0.04,0,0.41,6.82,25.92,22.04,0.2,0,0,0.24,0,34.9,330.47,39.35,4.44,0.3,0.3,0,45.56,0,0,6.8,26.76,4,3,9,5,7,8,4,5,8,0,1.71,0,0,0,0,0,0,0,16.27,10.46,9.3,33.73,"H_c","c","H"
"756",756,0,0,0.75,0.19,1.03,1.03,16.22,41.57,1.03,0,0,0,0,23.86,350.54,52.21,7.35,0.74,3.68,0.74,23.53,0,0,11.76,29.17,6,3,9,5,7,8,5,5,8,0,1.3,0,0.058,0,0.09,0,0,0,16.22,21.62,8.11,35.14,"H_c","c","H"
"757",757,0.04,0,1.16,0,2.44,2.4,26.38,33.28,0.31,0.23,0,0.5,0,15.48,341.75,45.41,7.3,1.62,1.89,1.08,22.43,0,0,17.57,30.33,5,4,9,6,7,8,4,5,8,0,0.35,0,0.309,0,0,0,0,0,23.07,15.39,23.08,30.77,"H_c","c","H"
"758",758,0.08,0,0.5,0.08,0.59,1.17,2.59,49.62,0.67,0,0,0.08,0,20.17,342.88,20.61,0.61,0.61,4.24,12.73,34.55,0,0,21.21,12.92,0,4,9,6,8,8,4,5,8,0,0.5,0,0.002,0,3.1,0,0,0,54.28,13.33,22.85,9.53,"H_c","c","H"
"759",759,0,0,2.69,0,1.75,5.87,13.87,41.34,0.22,1.37,0,0.77,0,16.12,348.33,45.19,8.37,0.84,9.63,3.35,21.76,0,0,9.21,22.5,0,4,9,6,8,8,4,5,8,0,2.8,0,0.186,0,4.39,0,0,0,39.69,15.27,3.05,29.01,"H_c","c","H"
"760",760,0,0,2.33,0,0.96,4.1,25.58,33.79,0,3.42,0,0.96,0,19.56,340.91,37.84,8.11,0,9.01,3.6,25.23,0,0,4.5,30.8,4,4,9,6,8,8,4,5,8,0,3.15,0,0.006,0,0.55,0,0,0,12,24,0,48,"H_c","c","H"
"761",761,0,0,0.68,0.17,1.19,12.8,11.77,40.61,0.34,2.39,0,1.02,0,9.56,343.33,42.05,21.59,12.5,0,9.09,10.23,0,0,0,31.18,5,4,9,6,8,8,4,5,9,0,15.19,0,0,0,0,0,0,1,44.45,5.56,5.56,33.34,"H_c","c","H"
"762",762,0,0,0.23,0.35,0.77,1.16,20.52,27,0.08,0.15,0,0.08,0,24.57,394.35,32.87,4.7,1.1,14.91,0,29.56,0,0,14.09,25.27,1,3,9,5,6,7,6,6,7,0,10.37,0,0,0,0,0,0,0,31.92,5.32,7.45,44.68,"H_c","c","H"
"763",763,0.14,0,0.29,0,0.43,1.07,20.42,25.5,0.14,0,0.21,0.43,0,25.07,394.06,22.96,5.61,4.59,34.18,0,28.06,0,0,1.53,21.66,0,3,9,5,7,7,6,6,8,0,22.13,0,0.001,0,8.02,0,0,0,56.76,10.82,8.11,8.11,"H_c","c","H"
"764",764,0,0,0.21,0.03,1.15,3.57,25.3,29.02,0.09,0.06,0,0.18,0,25.72,371.83,38.78,6.29,1.26,9.23,0,32.29,0,0,9.43,27.08,3,3,9,5,7,7,5,6,7,0,3.22,0,0.377,0,0.03,0,0,0,24.46,13.67,2.88,41.73,"H_c","c","H"
"765",765,0,0,0.53,0,0.89,2.44,21.09,22.02,0.09,0.22,0,0.13,0,26.27,355.77,21.98,6.19,0.93,20.44,0,28.48,0,0,13.62,16.08,2,3,9,5,7,7,5,5,8,0,12.18,0,0.015,0,0,0,0,0,30.66,20,9.33,25.33,"H_c","c","H"
"766",766,0,0,0.94,1.68,5.84,8.6,26.6,18,1.75,0.07,0,0.34,0,19.21,373.33,47.06,16.67,5.88,11.27,0,13.73,0,0,4.9,38.81,10,3,9,5,7,8,5,5,8,0,10.81,0,5.829,0,0,0,0,0,46.43,3.57,0,3.57,"H_c","c","H"
"767",767,0,0,0,0,0.38,1.14,33.28,23.71,0,0,0,1.06,0,20.36,358.21,17.65,2.14,0.53,34.23,0,26.74,0,0,3.74,18.92,2,3,9,5,7,8,4,5,8,0,10.71,0,10.394,0,3.57,0,0,0,13.15,13.15,10.52,47.37,"H_c","c","H"
"768",768,0,0,0.17,0,0.06,0.28,40.69,14.7,0,0.22,0,0.55,0,36.82,372.93,23.2,2.4,0.4,22.8,0,43.6,0,0,0.8,20.36,2,3,9,5,7,8,5,5,8,0,4.31,0,0,0,0,0,0,0,0,0,0,75,"H_c","c","H"
"769",769,0,0,0,0.02,0.15,0.34,16.51,34.66,0.05,0,0,0.34,0,35.99,382.15,11.23,1.43,0.53,23.52,0,49.91,0,0,3.39,16.58,2,3,9,5,7,8,5,5,8,0,2.08,0,0.821,0,15.1,0,0,0,44.84,10.32,6.11,21.59,"H_c","c","H"
"770",770,0.07,0,0.22,0,2.63,0.44,6.72,49.05,0.51,0.66,0,0.29,0,16.72,372.35,44.9,5.1,2.55,9.69,0,28.06,0,0,9.18,27.69,2,3,9,5,7,8,5,5,8,0,2.55,0,0.042,0,40.88,0,0,0,51.72,17.24,10.34,15.52,"H_c","c","H"
"771",771,0.04,0,3.37,0.24,1.67,0,4.29,41.6,2.06,5.68,0,3.61,0,2.18,403.26,65.22,13.62,0.58,12.18,0,0,0,0,6.09,54.94,10,4,10,6,9,9,5,5,9,0,3.33,1,6.94,0,65.34,0,0,1.83,9.02,23.13,22.35,10.59,"H_c","c","H"
"772",772,3.22,0,0.18,0,1.07,1.07,27.93,23.63,1.34,0,0,0.45,0,9.49,476.92,59.35,12.9,9.03,9.03,0,0.65,0,0,9.03,47.41,5,3,10,6,8,8,5,5,8,0,9.13,1,3.238,1.5,28.02,0.18,0,5,6.32,4.43,11.39,44.93,"H_c","c","H"
"773",773,0.79,0,1.18,2.53,5.81,0.26,2.67,52.75,18.44,0.04,0,0.22,0,4.72,446.76,51.39,29.72,4.95,5.27,0,0.93,0,0,7.43,51.87,16,3,9,5,7,8,6,6,8,0,0.13,1,0.002,0,13.9,0.96,0,0,48.59,23.72,12.42,8.47,"H_c","c","H"
"774",774,0.5,0,0.8,0.65,3.2,1.35,20.86,41.72,6.25,0.4,0,0.65,0,9.35,415.04,56.83,26.62,4.68,1.08,0,3.24,0,0,6.47,39.19,9,3,10,5,8,8,6,6,8,0,3.7,1,0.194,0,8.3,0.35,0,0,11.84,13.16,10.53,35.52,"H_c","c","H"
"775",775,3.01,0,0.5,0.34,2.91,3.41,6.97,39,3.22,0,0,0.56,0,5.61,428.2,55.23,14.03,5.79,6.46,0,2,0,0,15.37,48.58,7,3,9,5,7,8,6,6,8,0,1.77,1,1.926,0,28.27,0.12,0,1.13,28.71,5.09,11.11,33.33,"H_c","c","H"
"776",776,0.41,0,1.16,2.04,3.95,1.94,10.51,47.26,8,0.92,0.1,1.12,0,5.78,429.37,48.77,24.26,4.9,13.73,0,1.72,0,0,6.13,53.69,13,3,10,6,8,8,6,6,8,0,4.9,1,1.223,0,9.42,0.75,0.34,0,27.28,18.18,23.03,20.6,"H_c","c","H"
"777",777,1.05,0,0.96,0,1.83,2.1,3.93,33.45,4.72,0,0,0.09,0,17.9,405.38,52.17,4.97,1.86,4.35,0,10.56,0,0,21.12,31.5,0,3,10,6,8,8,6,6,8,0,0.35,1,7.162,0,23.23,0,0,2,52.46,32.78,8.2,6.56,"H_c","c","H"
"778",778,2.73,0,1.19,0,0.77,0.34,4.18,22.34,6.48,0.09,0.17,0.34,0,7.16,417.66,50.62,22.22,4.32,5.56,0,1.85,0,0,12.35,43.87,6,3,10,6,8,8,6,6,8,0,10.06,1,12.124,0,45.87,0,0,1.5,8.47,13.08,14.61,25.38,"H_c","c","H"
"779",779,2.18,0,0.61,0.2,1.86,0.63,5.85,46.93,4.12,0.15,0,0.95,0,9.45,409.02,59.64,5.79,1.7,7.4,0,4.6,0,0,20.28,35.46,0,3,10,6,8,8,6,6,8,0,2.52,1,0.006,1,12.06,0.15,0.01,2.17,45.51,23.15,14.77,15.37,"H_c","c","H"
"780",780,0.71,0,1.01,0.17,1.76,1.27,27.11,26.45,2.76,1,0.03,4.81,0,15.65,406.76,64.23,5.14,0.1,16.66,0,6.68,0,0,6.58,37.06,2,3,10,6,8,9,5,5,8,0,3.4,1,3.436,1,6.76,0,0,1.83,13.54,13.33,9.48,48.57,"H_c","c","H"
"781",781,0.35,0,0.38,0.4,1.48,0.83,10.26,35.04,4.02,0.15,0,1.96,0,5.36,415.98,65.15,11.73,1.75,11.03,0,0.7,0,0,8.76,48.71,4,3,10,6,8,9,6,5,9,0,10.54,1,11.044,1,40.42,0,0,0,12.61,21.54,7.69,14.77,"H_c","c","H"
"782",782,0.34,0,1.29,0,1.36,1.02,18.38,27.77,1.63,2.38,0,7.56,0,7.62,402.08,34.66,1.49,0,44.55,0,3.96,0,0,15.35,40.52,4,3,10,6,8,8,5,5,8,0,1.23,1,8.189,0,29.95,0,0,2.25,10.97,27.1,16.77,27.09,"H_c","c","H"
"783",783,3.88,0,0.77,0.42,2.88,0.46,8.64,43.72,7.02,0.04,0.15,2.61,0,5.41,433.04,65.63,17.19,0.52,4.42,0,1.04,0,0,11.2,42.43,3,3,10,6,8,8,5,5,8,0,0.23,1,0.003,1,27.02,0.35,0,2.57,28.89,21.11,11.49,23.7,"H_c","c","H"
"784",784,1.18,0,0,0,1.62,0,22.21,32.35,10.44,0,0,0.44,0,13.09,432.65,30.77,2.88,0,40.39,0,9.62,0,0,16.35,44.27,4,3,10,6,8,8,5,5,8,0,0.44,1,5.988,0,26.32,0,0,3,20.63,3.17,5.55,17.46,"H_c","c","H"
"785",785,0.27,0,0.49,0.27,1.28,1.51,27.53,25.85,2.35,0,0.04,2.79,0,18.28,415.71,66.46,3.73,0.31,5.28,0,7.76,0,0,16.46,32.63,1,4,10,6,8,8,5,5,8,0,1.55,1,0,1,0,0,0,3.5,26.43,17.62,9.96,39.85,"H_c","c","H"
"786",786,0,0,0.16,0,0.71,0.31,54.76,12.2,0.39,0.71,0,1.34,0,14.08,441.52,35.05,7.22,1.55,40.21,0,5.67,0,0,10.31,35.42,5,3,10,6,8,9,5,5,8,0,2.44,1,18.545,1,0,0,0,3.75,1.89,4.38,3.76,80.01,"H_c","c","H"
"787",787,6.75,0,6.95,1.22,10.84,0.9,0.82,40.83,13.88,0.63,0.02,2.84,0,1.76,460.25,41,35,10,6,0,0,0,0,4,83.65,30,3,10,6,8,8,5,5,8,0,1.93,1,0.787,0,16.42,7.79,1.62,0.28,19.09,29.83,19.4,17.1,"H_c","c","H"
"788",788,0.69,0,7.94,2.16,15.48,13.92,3.45,35.04,8.2,1.03,0,1.11,0,1.79,421.39,21.36,19.28,51.23,5.49,0,0.19,0,0,1.89,76.76,30,3,10,6,8,8,5,6,8,0,1.13,1,0.12,1,4.17,0.95,0,1.88,4.21,3.99,7.73,53.4,"H_c","c","H"
"789",789,0.57,0,9.99,0.52,10.46,5.98,3.95,46.31,8.74,3.28,0,2.86,0,2.03,403.47,18.08,38.01,31.73,7.75,0,0,0,0,1.85,79.87,29,3,10,6,8,8,5,5,8,0,0.42,1,0.009,0,0.68,0,0,1.25,14.42,11.05,6.44,38.35,"H_c","c","H"
"790",790,1.98,0,2.4,0.21,1.95,4.33,5.38,34.39,7.05,2.95,0.02,5.75,0,1.86,420.12,43.82,28.21,11.74,7.61,0,0.37,0,0,7.99,68.15,14,3,10,6,8,9,5,5,9,0,16.52,1,0.129,0,30.53,0.02,0,0.14,8.39,9.83,12.14,22.25,"H_c","c","H"
"791",791,0.33,0,6.32,0,2.09,0.27,4.34,45.24,1.21,14.68,0,11.27,0,1.15,383.18,20.22,30.71,37.08,6.74,0,0,0,0,4.87,86.02,32,4,10,6,9,9,5,5,9,0,0,1,0.109,0,61.41,0,0,1.25,2.44,19.52,15.44,14.64,"H_c","c","H"
"792",792,5.57,0,6.49,8.85,5.1,1.09,0.16,20.75,16.92,0.54,0,0.25,0,1.29,455.48,31.24,48.31,12.24,4.02,0,0,0,0,4.19,102.6,39,3,10,6,8,8,5,6,8,0,4.88,1,5.592,1,41.48,10.63,0.65,2.17,16.69,11.29,14.23,28.15,"H_c","c","H"
"793",793,1.72,0,3.13,0.87,2.83,4.59,10.62,46.46,10.89,0.06,0,0.18,0,5.1,484.45,50.15,22.28,6.34,10.2,0,2.11,0,0,5.89,62.62,16,2,9,5,6,7,6,6,7,0,5.82,0,0,0,0,1.91,0.59,0,34.42,14.7,14.93,24.51,"H_c","c","H"
"794",794,0,0,0.52,0.16,3.37,2.01,16.43,52.48,9.47,0.26,0.06,0.91,0,5.06,490.71,46.45,22.04,4.27,15.64,0,1.18,0,0,5.45,57.73,18,2,9,5,7,7,6,7,7,0,3.27,0,0.005,0,0,1.1,0,0.11,41.3,15.36,8.53,30.03,"H_c","c","H"
"795",795,1.4,0,4.44,2.78,4.05,4.16,8.29,51.87,10.45,0,0,0,0,5.31,517.79,45.7,14.88,17.61,7.97,0,1.26,0,0,3.77,35.28,15,3,9,5,6,7,6,6,7,0,1.99,0,0,0,0,0.7,0.08,0,42.54,24.94,15.65,14.18,"H_c","c","H"
"796",796,0,0,0.11,0.19,0.11,5.18,15.32,33.64,0.81,0,0,0,0,26.42,466.6,31.78,3.45,0.74,26.6,0,20.69,0,0,10.84,24.23,2,2,9,4,6,6,6,6,6,0,4.85,0,0.09,0,0,0.04,0,0,55.84,16.25,5.84,15.83,"H_c","c","H"
"797",797,0.28,0,0.26,0.38,1.69,0.75,0.27,54.55,8.93,0,0,0.03,0,15.18,475.72,63.67,2.02,0.16,1.13,0,6.31,0,0,13.59,38.98,2,3,9,5,6,7,6,6,7,0,2.9,0,2.476,0,0.11,0.85,0.04,0,61.17,25.71,7.8,3.73,"H_c","c","H"
"798",798,1.32,0,0.61,1.07,1.53,1.02,5.6,47.22,24.35,0,0,0,0,8.1,517.05,64.03,17.39,2.37,1.99,0,2.37,0,0,8.3,47.21,7,2,9,4,5,6,6,6,6,0,0.97,0,0.049,0,0,2.45,0.25,0,70.52,11.58,6.32,8.43,"H_c","c","H"
"799",799,0.17,0,0.34,0.94,1.72,0.94,19.31,46.01,2.49,0,0,0,0,7.98,438.82,64.02,4.88,1.83,1.83,0,4.27,0,0,6.1,39.33,0,3,9,5,7,7,6,5,7,0,12.36,0,0,0,0,0,0,0,50.9,21.43,2.68,2.68,"H_c","c","H"
"800",800,0.07,0,1.33,1.4,5.92,2.46,3.33,60.55,3.46,0,0,0.13,0,9.31,451.66,59.81,9.57,7.18,6.22,0,3.83,0,0,9.09,56.71,0,3,9,5,7,7,6,6,8,0,1.86,0,0,0,0,0,0,0,46.84,29.11,4.43,16.46,"H_c","c","H"
"801",801,0.67,0,2.84,3.3,7.26,1.01,0.46,54.82,6.75,0,0.15,0.95,0,9.25,470.65,58.65,16.85,7.44,3.5,0,2.41,0,0,8.32,49.24,6,3,9,5,7,7,6,6,8,0,1.8,1,0.001,0,8.88,0.64,0,0,39.87,12.84,7.43,36.49,"H_c","c","H"
"802",802,0,0,0.69,0,0.9,2.04,10.96,56.7,3.8,0.17,0,0.62,0,14.63,412.74,62.15,5.01,0.75,5.01,0,8.27,0,0,5.76,36.17,2,3,9,5,7,8,6,6,8,0,1.69,1,0,0,0.14,0,0,0,42.7,17.98,2.81,20.79,"H_c","c","H"
"803",803,0.11,0,1.31,1.83,4.97,3.4,12.56,40.15,6.8,0.07,0.07,0.07,0,6.24,471.35,63.83,11.7,11.44,2.66,0,1.33,0,0,6.12,53.75,9,2,9,5,6,7,6,6,7,0,13.27,0,0,0,0,0.11,0,0,46.6,20.94,11.52,5.24,"H_c","c","H"
"804",804,0.71,0,2.27,0.12,2.42,2.05,5.49,58.1,4.84,0,0,0.47,0,8.69,429.53,63,10,2,4,0,4,0,0,11,40.86,7,2,9,5,7,7,6,6,7,0,1.55,1,0,0,0,0,0,0,33.79,18.69,8.79,20.05,"H_c","c","H"
"805",805,0.14,0,1.14,0.28,2.75,1.56,12.23,56.86,5.48,0.09,0,0.26,0,7.25,435.93,35.37,10.69,3.29,34.7,0,1.81,0,0,9.05,49.59,8,3,9,5,7,8,6,6,8,0,0.82,1,0.001,0,0,0.49,0,0,32.29,29.26,14.43,14.7,"H_c","c","H"
"806",806,0.27,0,2.18,0.22,4.22,0.19,22.07,39.1,4.59,1.6,0.08,3.22,0,4.98,390.68,51.82,13.23,4.25,19.05,0,1.46,0,0,6.67,46.41,7,3,10,5,8,8,6,6,8,0,8.98,1,0.002,0,0.54,0.46,0,0,13.38,24.77,28.87,29.27,"H_c","c","H"
"807",807,0,0,0.17,0,1.37,15.3,17.54,18.25,0,0,0,0.08,0,15.42,299.87,40.79,19.64,3.93,0,6.65,8.76,0,0,20.24,46.6,10,4,9,5,6,7,4,5,8,0,11.8,0,6.19,0,0,0,0,0,30.69,36.36,9.09,10.23,"H_c","c","H"
"808",808,0,0,0.47,0,0.78,8.39,16.46,24.22,0,0,0,0,0,24.37,299.3,41.14,8,0,1.14,5.71,24.57,0,0,18.86,29.87,0,4,9,5,7,7,4,5,8,0,5.33,0,0,0,0,0,0,0,17.14,21.43,47.14,12.86,"H_c","c","H"
"809",809,0,0,0,0,0,16.2,9.65,3.87,0,0,0,0,0,15.37,236.27,38.9,8.28,12.84,0,0,13.07,0,0,15,33.31,4,5,9,5,6,7,4,3,7,0,40.29,0,10.275,0,0,0,0,0,36.33,0,59.85,0,"L_c","c","L"
"810",810,0,0,0,0,0,11.67,40.06,5.95,0,0,0,0.29,0,24.6,269.45,40.04,10.81,12.6,0.54,0,19.57,0,0,11.89,32.97,3,5,9,5,6,7,4,3,7,0,5.47,0,0,0,0,0,0,0,24.07,4.63,4.63,52.78,"L_c","c","L"
"811",811,0,0,0,0,0,13.07,16.78,9.27,0,0,0,0,0,35.79,262.51,31.44,10.65,1.89,2.75,0,31.1,0,0,10.48,25.77,0,5,9,5,6,7,4,3,7,0,11.17,0,0,0,0,0,0,0,8.7,4.35,30.44,47.82,"L_c","c","L"
"812",812,0,0,0.19,0,0.91,10.48,31.96,17.89,0.23,0,0,0.81,0,25.46,282.02,37.39,22.71,5.05,0,1.15,26.15,0,0,7.34,38.35,7,4,9,5,6,7,4,4,7,0,5.01,0,0,0,0,0,0,0,9.39,2.76,7.73,56.35,"L_c","c","L"
"813",813,0,0,0,0,0.19,7.44,18.71,3.89,0,0,0,0,0,25.31,294.64,44.44,11.32,1.65,0.62,1.23,23.66,0,0,15.64,34.37,3,4,9,5,6,7,4,4,7,0,29.23,0,31.575,0,0,0,0,0,40,0,0,0,"L_c","c","L"
"814",814,0,0,0,0,0,19.04,9.19,3.97,0,0,0,0,0,22.46,201.41,36.61,4.91,5.58,0,0,30.36,0,0,4.91,33.07,2,6,8,5,6,7,3,2,8,0,39.49,0,0,0,0,0,0,0,22.2,0,55.6,0,"L_c","c","L"
"815",815,0,0,0.21,0,2.34,3.02,23.99,20.41,0.34,0,0,0,0,16.56,322.51,70.71,8.59,0,1.01,1.52,14.14,0,0,3.54,32,10,4,9,5,7,7,4,5,8,0,27.49,0,12.029,0,0,0,0,0,31.64,22.78,17.72,26.58,"H_c","c","H"
"816",816,0,0,0.35,0.17,10.28,5.57,22.47,36.59,0.17,0,0,1.39,0,10.98,323.31,42.17,19.28,2.41,2.41,6.02,10.84,0,0,3.61,54.73,35,4,9,5,7,7,4,5,8,0,8.89,0,0,0,0,0,0,0,11.11,37.03,33.33,14.81,"H_c","c","H"
"817",817,0,0,0,0,2.97,3.42,35.44,17.52,0,0,0,0.07,0,17.66,335.71,59.13,9.54,0.27,0.54,0.54,22.62,0,0,6.81,30.48,14,4,9,5,7,7,4,5,8,0,15.09,0,0.668,0,0,0,0,0,26.67,3.33,12,34,"H_c","c","H"
"818",818,0,0,0.34,0,5.49,10.77,25.41,32.72,0,0,0,0,0,15.04,341.19,46.26,18.06,10.13,0,12.33,8.37,0,0,2.2,48.26,19,4,9,5,7,7,4,5,8,0,5.89,0,0,0,0,0,0,0,15.55,8.89,4.44,57.78,"H_c","c","H"
"819",819,0,0,0.87,0,1.74,6.26,15.5,33.04,0,0,0,0.31,0,28.15,313.78,48.08,12.98,0.96,0,13.46,18.27,0,0,3.85,32.19,11,4,9,5,7,7,4,5,8,0,10.35,0,0,0,0,0,0,0,1.75,10.53,10.53,45.62,"H_c","c","H"
"820",820,0,0,1.22,0,5.11,10.33,18.49,39.25,0.03,0.17,0,0.44,0,10.1,349.24,38.1,20.44,16.87,1.19,1.19,11.11,0,0,6.55,51.86,28,3,9,5,7,7,4,5,8,0,6.21,0,0,0,0,0,0,0,5.71,34.29,24.76,22.85,"H_c","c","H"
"821",821,0,0,0.29,0,0.92,3.33,35.44,15.58,0.11,0,0,0,0,25.29,347.86,42.7,6.42,3.54,10.18,0.22,26.55,0,0,7.52,27.83,11,3,9,5,7,7,4,5,8,0,9.05,0,1.022,0,0,0,0,0,9.92,6.87,19.84,49.61,"H_c","c","H"
"822",822,0,0,1.06,0,1.15,5.21,19.3,15.17,0.21,0.01,0,0.16,0,16.71,367.31,47.05,6.28,8.31,5.79,0,15.56,0,0,13.91,36.65,13,3,9,5,7,7,5,5,7,0,25.89,0,0.991,0,0.12,0.07,0,0,21.33,13.67,9,46.34,"H_c","c","H"
"823",823,0,0,2.35,0,7.4,4.64,10.38,36.89,0,0,0,0.07,0,14.05,324.18,41.49,14.36,3.19,0.53,6.91,7.98,0,0,20.21,37.58,24,4,9,5,7,7,4,5,8,0,5.33,0,0.414,0,0,0,0,0,20.24,36.91,29.77,11.9,"H_c","c","H"
"824",824,0,0,2.51,0.22,4.49,8.6,35.67,25.83,0.02,0.15,0,1.35,0,11.38,367.82,44.92,18.42,13.77,2.58,0,11.7,0,0,6.37,60.18,32,3,9,5,7,7,4,5,8,0,1.69,0,0,0,0,0,0,0,6.67,10,15,31.66,"H_c","c","H"
"825",825,0,0,0,0,1.6,6.04,5.59,7.98,0.23,0,0,0,0,7.07,396.24,39.2,13.6,12.8,15.2,0,5.6,0,0,2.4,48.9,14,3,9,5,6,7,5,5,7,0,66.59,0,0.032,0,0,0,0,0,0,0,0,83.33,"H_c","c","H"
"826",826,0,0,0,0,0.68,5.47,17.81,17.51,7.19,0,0,0,0,12.53,412.16,49.77,6.39,3.2,17.35,0,15.07,0,0,7.76,32.39,2,3,9,5,6,7,5,5,7,0,29.05,0,3.117,0,0,0,0,0,31.82,20.46,13.63,25,"H_c","c","H"
"827",827,0,0,0.42,0.03,2.58,4.02,17.67,28.12,0.98,0.03,0,0.03,0,13.94,408.96,49.25,9.75,2.25,11.5,0,13,0,0,14,27.6,6,3,9,4,6,7,6,6,7,0,18.02,0,0.321,0,0,0,0,0,23.67,6.11,3.05,34.35,"H_c","c","H"
"828",828,0,0,0.52,0.1,11.8,19.15,13.36,16.28,4.91,0,0,0.68,0,7.41,419.38,41.6,14.89,12.98,11.07,0,6.87,0,0,11.45,50.01,13,3,9,5,6,7,5,6,7,0,13.99,0,0,0,0,0,0,0,0,0,15.15,45.45,"H_c","c","H"
"829",829,0,0,0.55,0,0.73,3.05,17.1,11.24,0.18,0.06,0,0,0,18.94,372.34,35.71,4.02,4.02,10.27,0,20.54,0,0,22.77,27.86,4,3,9,5,6,7,5,5,7,0,23.58,0,0.036,0,0,0,0,0,21.57,21.56,13.72,31.37,"H_c","c","H"
"830",830,0,0,1.28,0,3.53,11.25,15.02,9.24,0.06,0.3,0,0.12,0,8.75,393.05,36.04,14.41,11.71,9,0,8.56,0,0,19.82,43.47,6,3,9,5,6,7,5,6,7,0,25.35,0,0.08,0,0,0,0,0,8.52,0,2.13,25.53,"H_c","c","H"
"831",831,0,0,1.34,0,2.16,4.26,19.59,15.51,0.64,0.12,0,0.06,0,13,378.08,39.5,8.82,3.36,8.4,0,14.29,0,0,25.63,34.1,7,3,9,5,6,7,5,6,7,0,16.62,0,0,0,0,0,0,0,5.55,7.41,1.85,33.34,"H_c","c","H"
"832",832,0,0,0.56,0.07,1.69,5.34,30.5,24.31,0.42,0.14,0,0.14,0,17.43,393.86,44.28,9.45,2.49,16.92,0,15.42,0,0,10.95,33.9,8,3,9,5,6,7,5,6,7,0,10.75,0,0.03,0,0,0,0,0,21.74,9.57,3.48,44.35,"H_c","c","H"
"833",833,0,0,0.04,0,0.31,5.55,23.45,7.77,0,0,0,0,0,23.67,328.31,48.22,7.14,0.41,7.28,0,23.35,0,0,13.32,22.75,3,4,9,5,7,7,4,5,8,0,27.05,0,0.457,0,0.04,0,0,0,9.65,11.93,11.93,52.84,"H_c","c","H"
"834",834,0,0,0,0,1.34,13.39,18.99,9.56,0,0,0,0,0,19.45,342.66,39.78,2.7,0.45,19.09,0,22.7,0,0,13.03,19.43,1,4,9,5,7,7,4,5,8,0,23.49,0,0,0,0.33,0,0,0,5.3,17.42,34.84,32.57,"H_c","c","H"
"835",835,0,0,0.06,0,1.14,0.88,21.51,10.76,1.26,0,0,0,0,12.21,367.68,51.37,4.44,2.54,5.07,0,11.42,0,0,21.78,34.24,5,3,9,5,7,7,4,5,7,0,29.99,0,0.002,0,0,0,0,0,32.34,7.19,5.99,50.89,"H_c","c","H"
"836",836,0,0,0.1,0,0.98,3.5,24.78,7.29,0.14,0,0,0,0,10.43,328.75,39.07,19.64,12.04,2.22,1.27,11.19,0,0,12.67,52.56,16,4,9,5,6,7,4,4,7,0,38.81,0,20.835,0,0,0,0,0,9.59,9.59,50.69,26.03,"L_c","c","L"
"837",837,0,0,0,0,2.56,14.03,11.15,27.79,0.76,0,0,0,0,4.68,388.34,25.9,21.12,21.12,7.98,0,6.37,0,0,14.74,41.5,8,4,9,5,6,7,5,5,7,0,25.77,0,0,0,0,0,0,0,47.92,28.13,15.63,8.34,"H_c","c","H"
"838",838,0,0,0,0,1.14,18.48,11.57,22.58,0.47,0,0,0,0,7.61,392.67,34.4,11.3,11.3,17.46,0,8.6,0,0,15.23,42.01,7,4,9,5,6,7,5,5,7,0,21.3,0,11.35,0,0,0,0,0,37.98,21.51,9.7,18.99,"H_c","c","H"
"839",839,0,0,1.46,0.2,7.18,19.59,16.1,19.91,1.5,0.69,0,0.08,0,11.03,438.21,38.28,24.63,7.42,10.39,0,6.82,0,0,11.57,53.45,9,3,9,4,6,6,6,6,7,0,12.41,0,0.005,0,0,0,0,0,23.14,3.71,10.19,34.26,"H_c","c","H"
"840",840,0,0,0.2,0,0.43,11.3,19.55,28.06,1.12,0,0,0,0,4.63,362.45,38.57,11.67,19.05,3.58,0,5.48,0,0,20.71,52.19,4,3,9,4,6,6,5,5,7,0,15.93,0,0.937,0,0,0,0,0,100,0,0,0,"H_c","c","H"
